,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
353,huarmey,100,PE,1580712718,80,-10.07,-78.15,72.34,1.95
354,karasjok,75,NO,1580712718,79,69.47,25.51,28.4,28.86
355,bubaque,18,GW,1580712718,75,11.28,-15.83,76.89,4.7
356,russell,1,US,1580712718,53,32.35,-85.2,50.0,6.93
357,korem,96,ET,1580712718,88,12.51,39.52,56.82,3.87
358,noumea,40,NC,1580712677,44,-22.28,166.46,93.2,8.05
359,mackay,0,AU,1580712493,58,-21.15,149.2,89.01,12.75
360,hambantota,40,LK,1580712719,66,6.12,81.12,87.8,12.75
361,shelburne,90,CA,1580712719,93,44.08,-80.2,37.0,12.77
362,pecanha,7,BR,1580712719,96,-18.55,-42.56,65.52,2.33
363,coaticook,90,CA,1580712719,85,45.13,-71.8,24.01,3.0
364,inhambane,40,MZ,1580712719,83,-23.86,35.38,82.4,4.7
365,dunmore town,0,BS,1580712720,60,25.5,-76.65,68.11,12.64
366,arauca,29,CO,1580712720,79,7.08,-70.76,75.24,4.03
367,aquin,57,HT,1580712720,82,18.28,-73.4,75.42,8.66
368,moro,0,PK,1580712720,45,26.66,68.0,66.2,6.93
369,okha,100,RU,1580712721,95,53.57,142.95,7.41,8.7
370,envira,100,BR,1580712721,98,-7.3,-70.22,70.72,1.21
371,nyurba,60,RU,1580712721,95,63.28,118.33,-26.39,3.65
372,cornelio procopio,75,BR,1580712721,94,-23.18,-50.65,69.8,2.24
373,algiers,20,DZ,1580712721,93,36.75,3.04,42.8,3.33
374,isla mujeres,40,MX,1580712722,82,21.23,-86.73,62.6,6.93
375,vzmorye,75,RU,1580712722,76,54.7,20.24,39.2,17.9
376,humaita,100,BR,1580712722,97,-7.51,-63.02,73.8,1.19
377,rocha,0,UY,1580712722,95,-34.48,-54.33,64.96,8.32
378,severobaykalsk,43,RU,1580712723,90,55.65,109.32,-3.62,13.2
379,kantabanji,0,IN,1580712723,37,20.48,82.92,80.19,3.18
380,gao,0,ML,1580712723,13,16.64,1.64,65.44,8.39
381,khrebtovaya,0,RU,1580712723,83,56.7,104.25,-11.49,2.95
